,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
474,Certificate credentials can be vaulted in an HSM thereby reducing its attack surface.,T1588.003,Code Signing Certificates,[],Azure Dedicated HSM,Azure Dedicated HSM,technique_scores,protect,partial,T1588,Azure Dedicated HSM,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
475,Provides protection against sub-techniques involved with stealing credentials / certificates / keys from the organization.,T1553,Subvert Trust Controls,"['https://docs.microsoft.com/en-us/azure/dedicated-hsm/overview', 'https://docs.microsoft.com/en-us/azure/key-vault/managed-hsm/']",Azure Dedicated HSM,Azure Dedicated HSM,technique_scores,protect,partial,,Azure Dedicated HSM,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
476,Certificate credentials can be vaulted in an HSM thereby reducing its attack surface.,T1553.004,Install Root Certificate,[],Azure Dedicated HSM,Azure Dedicated HSM,technique_scores,protect,partial,T1553,Azure Dedicated HSM,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
477,Certificate credentials can be vaulted in an HSM thereby reducing its attack surface.,T1553.002,Code Signing,[],Azure Dedicated HSM,Azure Dedicated HSM,technique_scores,protect,partial,T1553,Azure Dedicated HSM,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
478,This control provides coverage of some aspects of software supply chain compromise since it enables automated updates of software and rapid configuration change management.,T1195,Supply Chain Compromise,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
479,This control provides coverage of some aspects of software supply chain compromise since it enables automated updates of software and rapid configuration change management.,T1195.002,Compromise Software Supply Chain,[],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,T1195,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
480,This control provides coverage of some aspects of software supply chain compromise since it enables automated updates of software and rapid configuration change management.,T1195.001,Compromise Software Dependencies and Development Tools,[],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,T1195,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
481,This control provides partial coverage of attacks that leverage software flaws in unpatched deployment tools since it enables automated updates of software and rapid configuration change management.,T1072,Software Deployment Tools,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
482,This control provides significant coverage of techniques that leverage vulnerabilities in unpatched remote services since it enables automated updates of software and rapid configuration change management.,T1210,Exploitation of Remote Services,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
483,This control provides significant coverage of defensive evasion methods that exploit unpatched vulnerabilities in software/systems since it enables automated updates of software and rapid configuration change management.,T1211,Exploitation for Defense Evasion,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
484,This control provides significant coverage of methods that leverage vulnerabilities in unpatched software since it enables automated updates of software and rapid configuration change management,T1068,Exploitation for Privilege Escalation,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
485,This control provides partial coverage for techniques that exploit vulnerabilities in (common) unpatched software since it enables automated updates of software and rapid configuration change management.,T1190,Exploit Public-Facing Application,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
486,This control provides significant coverage of credential access techniques that leverage unpatched software vulnerabilities since it enables automated updates of software and rapid configuration change management.,T1212,Exploitation for Credential Access,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
487,This control provides significant coverage for Exploitation for client execution methods that leverage unpatched vulnerabilities since it enables automated updates of software and rapid configuration change management.,T1203,Exploitation for Client Execution,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
488,This control provides protection against the subset of Denial of Service (DOS) attacks that leverage system/application vulnerabilities as opposed to volumetric attacks since it enables automated updates of software and rapid configuration change management.,T1499,Endpoint Denial of Service,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
489,This control provides significant protection against Denial of Service (DOS) attacks that leverage system/application vulnerabilities as opposed to volumetric attacks since it enables automated updates of software and rapid configuration change management.,T1499.004,Application or System Exploitation,[],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,significant,T1499,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
490,This control provides partial protection against compromised client software binaries since it can provide a baseline to compare with potentially compromised/modified software binaries.,T1554,Compromise Client Software Binary,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
491,This control protects against a subset of drive-by methods that leverage unpatched client software since it enables automated updates of software and rapid configuration change management,T1189,Drive-by Compromise,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],Azure Automation Update Management,Azure Automation Update Management,technique_scores,protect,partial,,Azure Automation Update Management,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
492,"This control only provides protection for one of this technique's sub-techniques while not providing any protection for the remaining and therefore its coverage score factor is Minimal, resulting in a Minimal score.",T1584,Compromise Infrastructure,['https://docs.microsoft.com/en-us/azure/dns/dns-alias#prevent-dangling-dns-records'],Azure DNS Alias Records,Azure DNS Alias Records,technique_scores,protect,minimal,,Azure DNS Alias Records,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
493,"Alias records prevent dangling references by tightly coupling the life cycle of a DNS record with an Azure resource. For example, consider a DNS record that's qualified as an alias record to point to a public IP address or a Traffic Manager profile. If you delete those underlying resources, the DNS alias record becomes an empty record set. It no longer references the deleted resource.  This control is effective for protecting DNS records that resolve to Azure resources but does not offer protection for records pointing to non-Azure resources, resulting in a Partial score.",T1584.001,Domains,[],Azure DNS Alias Records,Azure DNS Alias Records,technique_scores,protect,partial,T1584,Azure DNS Alias Records,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
494,"This control only provides protection for one of this technique's sub-techniques while not providing any protection for its procedure examples nor its remaining sub-technqiues and therefore its coverage score factor is Minimal, resulting in a Minimal score.",T1087,Account Discovery,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,minimal,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
495,This control can be used to implement the least-privilege principle for account management  and thereby limit the accounts that can be used for account discovery.,T1087.004,Cloud Account,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1087,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
496,"This control only provides protection for one of this technique's sub-techniques while not providing any protection for its procedure examples (due to being specific to Azure AD) nor its remaining sub-technqiues.  Consequently its coverage score factor is Minimal, resulting in a Minimal score.",T1078,Valid Accounts,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,minimal,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
497,This control can be used to implement the least-privilege principle for account management  and thereby limit what an adversary can do with a valid account.,T1078.004,Cloud Accounts,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1078,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
498,"This control only provides protection for one of this technique's sub-techniques while not providing any protection for the remaining and therefore its coverage score factor is Minimal, resulting in a Minimal score.",T1136,Create Account,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,minimal,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
499,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can create accounts.,T1136.003,Cloud Account,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1136,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
500,"This control provides protection for some of this technique's sub-techniques and therefore its coverage score factor is Partial, resulting in a Partial score.",T1098,Account Manipulation,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
501,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can modify accounts.,T1098.001,Additional Cloud Credentials,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1098,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
502,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can modify accounts.,T1098.003,Add Office 365 Global Administrator Role,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1098,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
503,"This control provides partial protection for all of its sub-techniques and therefore its coverage score factor is Partial, resulting in a Partial score.",T1578,Modify Cloud Compute Infrastructure,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
504,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can perform these privileged operations.,T1578.001,Create Snapshot,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1578,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
505,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can perform these privileged operations.,T1578.002,Create Cloud Instance,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1578,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
506,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can perform these privileged operations.,T1578.003,Delete Cloud Instance,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1578,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
507,This control can be used to implement the least-privilege principle for account management  and thereby limit the number of accounts that can perform these privileged operations.,T1578.004,Revert Cloud Instance,[],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,T1578,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
508,This control can be used to limit the number of users that have privileges to discover cloud infrastructure thereby reducing an organization's cloud infrastructure attack surface.,T1580,Cloud Infrastructure Discovery,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
509,This control can be used to limit the number of users that have dashboard visibility thereby reducing the attack surface.,T1538,Cloud Service Dashboard,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
510,"This control can be used to limit the number of users that have access to storage solutions except for the applications, users, and services that require access, thereby reducing the attack surface.",T1530,Data from Cloud Storage Object,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
511,This control can be used to limit the number of users that are authorized to grant consent to applications for accessing organizational data.  This can reduce the likelihood that a user is fooled into granting consent to a malicious application that then utilizes the user's OAuth access token to access organizational data.,T1528,Steal Application Access Token,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],Role Based Access Control,Role Based Access Control,technique_scores,protect,partial,,Role Based Access Control,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
512,"This control's detection is specific to the Cosmos DB and therefore provides minimal overall detection coverage for Valid Accounts resulting in a Minimal score. A relevant alert is ""Access from an unusual location to a Cosmos DB account"".",T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/other-threat-protections', 'https://docs.microsoft.com/en-us/azure/cosmos-db/cosmos-db-advanced-threat-protection']",Alerts for Azure Cosmos DB,Alerts for Azure Cosmos DB,technique_scores,detect,minimal,,Alerts for Azure Cosmos DB,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
513,"This control triggers an alert when there is a change in the access pattern to an Azure Cosmos account based on access from an unusual geographical location. False positives are fairly likely and misuse from a typical location is not covered, so score is Minimal. Relevant alert is ""Access from an unusual location to a Cosmos DB account""",T1078.004,Cloud Accounts,[],Alerts for Azure Cosmos DB,Alerts for Azure Cosmos DB,technique_scores,detect,minimal,T1078,Alerts for Azure Cosmos DB,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
514,"This control triggers an alert when an unusually large amount of data is extracted from/by an account compared to recent activity. False positives are fairly likely and extraction in quantities below the control's threshold is not detected, so score is Minimal. Neither of the sub-techniques are relevant in this context, since they are repository-specific.  Relevant alert is ""Unusual amount of data extracted from a Cosmos DB account""",T1213,Data from Information Repositories,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/other-threat-protections', 'https://docs.microsoft.com/en-us/azure/cosmos-db/cosmos-db-advanced-threat-protection']",Alerts for Azure Cosmos DB,Alerts for Azure Cosmos DB,technique_scores,detect,minimal,,Alerts for Azure Cosmos DB,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
515,,T1053,Scheduled Task/Job,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,significant,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
516,"This control may detect changes to the Windows registry upon creation or modification of scheduled tasks. This control may also detect changes to files used by cron or systemd to create/modify scheduled tasks.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1053.001,At (Linux),[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1053,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
517,"This control may detect changes to the Windows registry upon creation or modification of scheduled tasks. This control may also detect changes to files used by cron or systemd to create/modify scheduled tasks.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1053.002,At (Windows),[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1053,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
518,"This control may detect changes to the Windows registry upon creation or modification of scheduled tasks. This control may also detect changes to files used by cron or systemd to create/modify scheduled tasks.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1053.003,Cron,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1053,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
519,"This control may detect changes to the Windows registry upon creation or modification of scheduled tasks. This control may also detect changes to files used by cron or systemd to create/modify scheduled tasks.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1053.005,Scheduled Task,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1053,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
520,"This control may detect changes to the Windows registry upon creation or modification of scheduled tasks. This control may also detect changes to files used by cron or systemd to create/modify scheduled tasks.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1053.006,Systemd Timers,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1053,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
521,,T1098,Account Manipulation,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,minimal,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
522,"This control may detect changes to the SSH authorized keys file which may indicate establishment of persistence. This control at worst scans for changes on an hourly basis.
",T1098.004,SSH Authorized Keys,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1098,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
523,,T1547,Boot or Logon Autostart Execution,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
524,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.001,Registry Run Keys / Startup Folder,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
525,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.002,Authentication Package,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
526,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.003,Time Providers,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
527,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.004,Winlogon Helper DLL,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
528,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.005,Security Support Provider,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
529,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.006,Kernel Modules and Extensions,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
530,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.008,LSASS Driver,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
531,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.009,Shortcut Modification,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
532,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.010,Port Monitors,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
533,"This control may detect changes to the Windows registry or files that enable Boot or Logon Autostart Execution. This control at worst scans for changes on an hourly basis.
",T1547.012,Print Processors,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1547,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
534,,T1037,Boot or Logon Initialization Scripts,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
535,"This control may detect changes to the Windows registry upon creation or modification of logon scripts. This control at worst scans for changes on an hourly basis.
",T1037.001,Logon Script (Windows),[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1037,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
536,"This control may detect changes to the Windows registry upon creation or modification of logon scripts. This control at worst scans for changes on an hourly basis.
",T1037.003,Network Logon Script,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1037,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
537,,T1543,Create or Modify System Process,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
538,"This control may detect changes to the Windows registry upon creation or modification of Windows services. This control may also detect changes to files used by systemd to create/modify systemd services.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1543.002,Systemd Service,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1543,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
539,"This control may detect changes to the Windows registry upon creation or modification of Windows services. This control may also detect changes to files used by systemd to create/modify systemd services.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1543.003,Windows Service,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1543,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
540,"The detection score for this technique was assessed as Partial because it doesn't detect some of the sub-techniques of this technique such as Windows Management Instrumentation (WMI) Event Subscription and Trap sub-techniques. Additionally for some sub-techniques, this control can be noisy.
",T1546,Event Triggered Execution,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
541,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.001,Change Default File Association,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
542,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.002,Screensaver,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
543,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.004,.bash_profile and .bashrc,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
544,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.007,Netsh Helper DLL,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
545,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.008,Accessibility Features,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
546,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.009,AppCert DLLs,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
547,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.011,Application Shimming,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
548,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.012,Image File Execution Options Injection,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
549,"This control may detect changes to the Windows registry or files that indicate event triggered execution.  The specificity of registry keys and files used in creation or modification of these scheduled tasks may reduce the false positive rate. This control at worst scans for changes on an hourly basis.
",T1546.013,PowerShell Profile,[],File Integrity Monitoring,File Integrity Monitoring,technique_scores,detect,partial,T1546,File Integrity Monitoring,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
